claim_id,section,bucket,claim,source,verification,note,support_type,public_status,display_rank,headline_rank,subgroup,source_tier,public_claim,review_note,date_sensitive,last_reviewed
C1-07,Carbon Pools,Unchanged,"Soils (0–2 m): 2,500 Gt C (5.9%, largest land pool)","Sanderman et al., 2017; IPCC",DOI: 10.1073/pnas.1706103114,Existing site claim carried forward into the revised register.,direct,approved,7,,,institutional,"Soils (0–2 m): 2,500 Gt C (5.9%, largest land pool)",Institutional-source claim cleared for public review.,no,2026-04-02
C1-08,Carbon Pools,Unchanged,Atmosphere: 900 Gt C (2.1%),Global Carbon Budget 2024,globalcarbonproject.org,Existing site claim carried forward into the revised register.,direct,approved,8,,,institutional,Atmosphere: 900 Gt C (2.1%),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C1-09,Carbon Pools,Unchanged,Vegetation: 560 Gt C (1.3%),Global carbon cycle estimates,IPCC AR6,Existing site claim carried forward into the revised register.,direct,approved,9,,,institutional,Vegetation: 560 Gt C (1.3%),Institutional-source claim cleared for public review.,no,2026-04-02
C1-10,Carbon Pools,Unchanged,Photosynthesis absorbs 120 Gt C/yr,Global Carbon Budget,globalcarbonproject.org,Existing site claim carried forward into the revised register.,direct,approved,10,,,institutional,Photosynthesis absorbs 120 Gt C/yr,Institutional-source claim cleared for public review.,no,2026-04-02
C1-11,Carbon Pools,Unchanged,Soil respiration releases 62 Gt C/yr,Global Carbon Budget,globalcarbonproject.org,Existing site claim carried forward into the revised register.,direct,approved,11,,,institutional,Soil respiration releases 62 Gt C/yr,Institutional-source claim cleared for public review.,no,2026-04-02
C1-12,Carbon Pools,Unchanged,Fossil fuel emissions: 10 Gt C/yr,Global Carbon Budget 2024,globalcarbonproject.org,Existing site claim carried forward into the revised register.,direct,approved,12,,,institutional,Fossil fuel emissions: 10 Gt C/yr,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C1-13,Carbon Pools,Unchanged,~6 Gt net atmospheric CO2 accumulation/yr,Global Carbon Budget 2024,"Fossils ~10 + land-use ~1; oceans absorb ~3, land ~3",Existing site claim carried forward into the revised register.,direct,approved,13,,,institutional,~6 Gt net atmospheric CO2 accumulation/yr,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C1-14,Carbon Pools,Unchanged,13.12 Gt CO2e channeled by mycorrhizal fungi/yr,"Hawkins et al., 2023, Current Biology",DOI: 10.1016/j.cub.2023.02.027,Existing site claim carried forward into the revised register.,direct,approved,14,,,primary,13.12 Gt CO2e channeled by mycorrhizal fungi/yr,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C1-15,Carbon Pools,Unchanged,Equal to 36% of fossil fuel emissions,Calculated: 13.12 / ~36 Gt CO2,Based on annual fossil CO2,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,15,,,derived,Equal to 36% of fossil fuel emissions,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C1-16,Carbon Pools,Unchanged,Mycelial network ~5x Earth-Sun distance (450M km),"Hawkins et al., 2023",Earth-Sun ~150M km,Existing site claim carried forward into the revised register.,direct,approved,16,,,institutional,Mycelial network ~5x Earth-Sun distance (450M km),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C2-01,Soil Microbiome,Unchanged,1 billion bacteria per gram of soil,USDA-NRCS soil biology overview; standard soil microbiology reference range,USDA/NRCS soil biology materials,Approved conservative abundance claim retained for public use.,direct,approved,1,1,,institutional,1 billion bacteria per gram of soil,Institutional-source claim cleared for public review.,no,2026-04-02
C2-02,Soil Microbiome,Unchanged,13.12 Gt CO2e moved by mycorrhizal fungi,"Hawkins et al., 2023, Current Biology",DOI: 10.1016/j.cub.2023.02.027,Existing site claim carried forward into the revised register.,direct,approved,2,2,,primary,13.12 Gt CO2e moved by mycorrhizal fungi,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C2-03,Soil Microbiome,Unchanged,450M km mycelial network length,"Hawkins et al., 2023",DOI: 10.1016/j.cub.2023.02.027,Existing site claim carried forward into the revised register.,direct,approved,3,3,,primary,450M km mycelial network length,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C2-04,Soil Microbiome,Unchanged,Up to 50% of SOM is microbial necromass,Lawrence Livermore National Laboratory,LLNL microbial necromass research,Existing site claim carried forward into the revised register.,direct,approved,4,,,institutional,Up to 50% of SOM is microbial necromass,Institutional-source claim cleared for public review.,no,2026-04-02
C2-05,Soil Microbiome,Unchanged,Glomalin holds 4–5% of all soil carbon,Soil science literature,Wright & Upadhyaya; glomalin studies,Existing site claim carried forward into the revised register.,direct,approved,5,,,institutional,Glomalin holds 4–5% of all soil carbon,Institutional-source claim cleared for public review.,no,2026-04-02
C2-06,Soil Microbiome,Unchanged,Glomalin persists 6–42 years,Soil science literature,Wright & Upadhyaya,Existing site claim carried forward into the revised register.,direct,approved,6,,,institutional,Glomalin persists 6–42 years,Institutional-source claim cleared for public review.,no,2026-04-02
C2-07,Soil Microbiome,Unchanged,+37% microbial biomass in no-till vs conventional (137 studies),Oak Ridge National Laboratory meta-analysis,ORNL no-till meta-analysis (137 studies),Existing site claim carried forward into the revised register.,direct,approved,7,,,institutional,+37% microbial biomass in no-till vs conventional (137 studies),Institutional-source claim cleared for public review.,no,2026-04-02
C2-08,Soil Microbiome,Unchanged,"+45% SOC increase in 8 years (UC Davis, San Joaquin Valley)",UC Davis 8-year regenerative trial,UC Davis San Joaquin Valley trial,Existing site claim carried forward into the revised register.,direct,approved,8,,,institutional,"+45% SOC increase in 8 years (UC Davis, San Joaquin Valley)",Institutional-source claim cleared for public review.,no,2026-04-02
C2-09,Soil Microbiome,Unchanged,"Each 1% SOM increase stores 20,000 extra gal/acre",USDA-NRCS,USDA-NRCS SOM water holding data,Existing site claim carried forward into the revised register.,direct,approved,9,,,institutional,"Each 1% SOM increase stores 20,000 extra gal/acre",Institutional-source claim cleared for public review.,no,2026-04-02
C2-10,Soil Microbiome,Unchanged,Microbes reduce synthetic fertilizer demand 40–50%,Soil Health Institute; nutrient cycling research,SHI 100-farm study data,Existing site claim carried forward into the revised register.,direct,approved,10,,,institutional,Microbes reduce synthetic fertilizer demand 40–50%,Institutional-source claim cleared for public review.,no,2026-04-02
C2-11,Soil Microbiome,Unchanged,High microbial diversity correlates with drought resilience,USDA ARS,USDA ARS drought resilience research,Existing site claim carried forward into the revised register.,direct,approved,11,,,institutional,High microbial diversity correlates with drought resilience,Institutional-source claim cleared for public review.,no,2026-04-02
C3-01,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,"133 Gt C stripped over 12,000 years of human land use","Sanderman et al., 2017, PNAS",DOI: 10.1073/pnas.1706103114,Approved primary-source claim synchronized to the current site drawdown framing.,direct,approved,1,1,,primary,"133 Gt C stripped over 12,000 years of human land use",Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C3-02,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,488 Gt CO2 equivalent,Calculated: 133 Gt C × 3.67,Standard C-to-CO2 conversion,Derived companion figure shown with the source number and the math.,derived,approved,2,2,,derived,488 Gt CO2 equivalent,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C3-03,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,Largest human-caused biogeochemical disruption,"Sanderman et al., 2017",DOI: 10.1073/pnas.1706103114,Existing site claim carried forward into the revised register.,direct,approved,3,3,,primary,Largest human-caused biogeochemical disruption,Primary-source claim cleared for public review.,no,2026-04-02
C3-04,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,50–70% original carbon gone from cultivated soils,"Lal 2004, Science",DOI: 10.1126/science.1097396,Existing site claim carried forward into the revised register.,direct,approved,4,,,primary,50–70% original carbon gone from cultivated soils,Primary-source claim cleared for public review.,no,2026-04-02
C3-05,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,2.5 Mg/ha additional loss 1919–2018 (climate alone),Climate-driven SOC loss research,Independent of land use decisions,Existing site claim carried forward into the revised register.,direct,approved,5,,,institutional,2.5 Mg/ha additional loss 1919–2018 (climate alone),Institutional-source claim cleared for public review.,no,2026-04-02
C3-06,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,52% SOC loss: temperate forest to agriculture,"Wei et al., 2014, Scientific Reports",DOI: 10.1038/srep05738,Existing site claim carried forward into the revised register.,direct,approved,6,,,primary,52% SOC loss: temperate forest to agriculture,Primary-source claim cleared for public review.,no,2026-04-02
C3-07,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,41% SOC loss: tropical forest to agriculture,"Wei et al., 2014",DOI: 10.1038/srep05738,Existing site claim carried forward into the revised register.,direct,approved,7,,,primary,41% SOC loss: tropical forest to agriculture,Primary-source claim cleared for public review.,no,2026-04-02
C3-08,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,31% SOC loss: boreal forest to agriculture,"Wei et al., 2014",DOI: 10.1038/srep05738,Existing site claim carried forward into the revised register.,direct,approved,8,,,primary,31% SOC loss: boreal forest to agriculture,Primary-source claim cleared for public review.,no,2026-04-02
C3-09,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,42–78 Gt C biologically recoverable,Lal 2004; Sanderman et al. 2018,Lal: 10.1126/science.1097396; Sanderman: 10.1073/pnas.1706103114,Existing site claim carried forward into the revised register.,direct,approved,9,,,primary,42–78 Gt C biologically recoverable,Primary-source claim cleared for public review.,no,2026-04-02
C3-10,"Carbon Debt - 12,000 Years of Loss",Climate-reframed,50–66% recoverable through regen management,Lal 2004; recovery estimates,Cross-referenced independent estimates,Removed from public-facing materials during synchronization because the recovery-share shorthand was less defensible than the approved 42–78 Gt C recovery range.,interpretation,remove,10,,,interpretive,50–66% recoverable through regen management,Interpretive reviewer framing grounded in the cited evidence base.,no,2026-04-02
C3-N01,"Carbon Debt - 12,000 Years of Loss",New climate-support,42-78 Gt C recoverable = roughly 154-286 Gt CO2 drawdown opportunity.,Derived from Lal 2004 / Sanderman recovery range,42-78 x 3.67 = 154-286 Gt CO2,Derived conversion used to frame soil recovery in atmospheric terms.,derived,approved,11,,,derived,42-78 Gt C recoverable = roughly 154-286 Gt CO2 drawdown opportunity.,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C3-N02,"Carbon Debt - 12,000 Years of Loss",New climate-support,154-286 Gt CO2 equals roughly 4-7 years of current annual CO2 emissions.,Global Carbon Budget 2024/2025; derived comparison,154-286 Gt CO2 / 41.6 Gt CO2 per year = about 3.7-6.9 years,Derived comparison used for climate-budget scale messaging.,derived,approved,12,,,derived,154-286 Gt CO2 equals roughly 4-7 years of current annual CO2 emissions.,Derived reviewer claim with explicit math anchored to the cited source values. Refresh on the underlying reporting cycle.,yes,2026-04-02
C3-N03,"Carbon Debt - 12,000 Years of Loss",New climate-support,"Global Carbon Budget 2025: roughly 235 / 585 / 1,110 Gt CO2 remain for 1.5 / 1.7 / 2.0°C",Global Carbon Budget 2024 / 2025 framing,"See supplied soil-climate evidence report, Carbon pillar",Approved climate-budget context added to support the site's new legacy-carbon callout.,direct,approved,13,,,institutional,"Global Carbon Budget 2025: roughly 235 / 585 / 1,110 Gt CO2 remain for 1.5 / 1.7 / 2.0°C",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C4-01,Rebuilding Carbon,Climate-reframed,Compost (rangeland): 1.00 Mg C/ha/yr (0.8–1.2),"Ryals & Silver, 2013",Ryals & Silver 2013 compost rangeland,Existing site claim carried forward into the revised register.,direct,approved,1,1,,institutional,Compost (rangeland): 1.00 Mg C/ha/yr (0.8–1.2),Institutional-source claim cleared for public review.,no,2026-04-02
C4-02,Rebuilding Carbon,Climate-reframed,Cover cropping: 0.56 Mg C/ha/yr (0.32–0.88),"Joshi et al., 2023, Agronomy Journal",Joshi et al. 2023 cover cropping SOC,Existing site claim carried forward into the revised register.,direct,approved,2,2,,primary,Cover cropping: 0.56 Mg C/ha/yr (0.32–0.88),Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C4-03,Rebuilding Carbon,Climate-reframed,AMP grazing: 0.50 Mg C/ha/yr (0.3–2.29),Multiple grazing studies,Adaptive multi-paddock literature,Approved public row synchronized to the current site range.,direct,approved,3,3,,institutional,AMP grazing: 0.50 Mg C/ha/yr (0.3–2.29),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C4-04,Rebuilding Carbon,Climate-reframed,Organic systems: 0.45 Mg C/ha/yr (0.3–0.6),Lal 2004; organic research,DOI: 10.1126/science.1097396,Approved public row synchronized to the current site range.,direct,approved,4,,,primary,Organic systems: 0.45 Mg C/ha/yr (0.3–0.6),Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
C4-05,Rebuilding Carbon,Climate-reframed,No-till (long-term): 0.30 Mg C/ha/yr (0.1–0.5),Conservation tillage literature,Long-term aggregate studies,Existing site claim carried forward into the revised register.,direct,approved,5,,,institutional,No-till (long-term): 0.30 Mg C/ha/yr (0.1–0.5),Institutional-source claim cleared for public review.,no,2026-04-02
C4-06,Rebuilding Carbon,Climate-reframed,Rodale 34-yr: Organic 61.9 vs Conventional 53.3 Mg C/ha,Rodale FST (1981–2015),rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,6,,,institutional,Rodale 34-yr: Organic 61.9 vs Conventional 53.3 Mg C/ha,Institutional-source claim cleared for public review.,no,2026-04-02
C4-07,Rebuilding Carbon,Climate-reframed,+16% more soil carbon (Rodale organic),Rodale FST,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,7,,,institutional,+16% more soil carbon (Rodale organic),Institutional-source claim cleared for public review.,no,2026-04-02
C4-08,Rebuilding Carbon,Climate-reframed,-45% less energy used (Rodale organic),Rodale FST,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,8,,,institutional,-45% less energy used (Rodale organic),Institutional-source claim cleared for public review.,no,2026-04-02
C4-09,Rebuilding Carbon,Climate-reframed,-40% fewer emissions (Rodale organic),Rodale FST,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,9,,,institutional,-40% fewer emissions (Rodale organic),Institutional-source claim cleared for public review.,no,2026-04-02
C4-10,Rebuilding Carbon,Climate-reframed,+31% higher drought yields (Rodale organic),Rodale FST,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,10,,,institutional,+31% higher drought yields (Rodale organic),Institutional-source claim cleared for public review.,no,2026-04-02
C4-11,Rebuilding Carbon,Climate-reframed,Single tillage pass = 50+ years of continuous tillage damage,"MSU Extension, 30-year finding",MSU Extension tillage research,Existing site claim carried forward into the revised register.,direct,approved,11,,,institutional,Single tillage pass = 50+ years of continuous tillage damage,Institutional-source claim cleared for public review.,no,2026-04-02
C4-12,Rebuilding Carbon,Climate-reframed,107M MT CO2e/yr if all US corn adopted cover crops,US corn acreage × sequestration rates,Calculated from USDA data + Joshi et al.,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,12,,,derived,107M MT CO2e/yr if all US corn adopted cover crops,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C4-N01,Rebuilding Carbon,New climate-support,107M MT CO2e per year is roughly equivalent to removing 25 million passenger vehicles from the road.,EPA greenhouse gas equivalencies; 2024 conversion factors,"107,000,000 metric tons / 4.29 metric tons per passenger vehicle = about 24.9 million vehicles",Derived equivalency for public-facing scale comparison.,derived,approved,13,,,derived,107M MT CO2e per year is roughly equivalent to removing 25 million passenger vehicles from the road.,Derived reviewer claim with explicit math anchored to the cited source values. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-01,Profitability,Climate-reframed,+78% higher profits on regen farms (19 Northern Plains),"LaCanne & Lundgren, 2018, PeerJ",DOI: 10.7717/peerj.4428,Existing site claim carried forward into the revised register.,direct,approved,1,1,Farm Returns,primary,+78% higher profits on regen farms (19 Northern Plains),Primary-source claim cleared for public review.,no,2026-04-02
E1-02,Profitability,Climate-reframed,$51.60 net return/acre above cost — corn,"Soil Health Institute 100-farm, 2021",SHI 2021 100-farm study,Existing site claim carried forward into the revised register.,direct,approved,2,2,Farm Returns,institutional,$51.60 net return/acre above cost — corn,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-03,Profitability,Climate-reframed,$44.89 net return/acre — soy,"Soil Health Institute 100-farm, 2021",SHI 2021,Existing site claim carried forward into the revised register.,direct,approved,3,,Farm Returns,institutional,$44.89 net return/acre — soy,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-04,Profitability,Climate-reframed,85% of farmers saw positive net returns,SHI 100-farm study,SHI 2021,Existing site claim carried forward into the revised register.,direct,approved,4,,Farm Returns,institutional,85% of farmers saw positive net returns,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-05,Profitability,Climate-reframed,$65/acre average gains (30-farm study),SHI 30-farm subset,SHI dataset,Existing site claim carried forward into the revised register.,direct,approved,5,,Farm Returns,institutional,$65/acre average gains (30-farm study),Institutional-source claim cleared for public review.,no,2026-04-02
E1-06,Profitability,Climate-reframed,"Regen: $1,185/ac vs Conventional: $665/ac net profit",Composite: LaCanne & Lundgren; SHI,Derived from cited studies,Removed from public-facing materials during synchronization; retained only as an internal composite rollup.,derived,internal-only,6,,Farm Returns,derived,"Regen: $1,185/ac vs Conventional: $665/ac net profit",Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
E1-07,Profitability,Climate-reframed,Input costs: Regen 55 vs Conventional 100 (indexed),LaCanne & Lundgren; SHI,Normalized comparison,Existing site claim carried forward into the revised register.,direct,approved,7,,Farm Returns,institutional,Input costs: Regen 55 vs Conventional 100 (indexed),Institutional-source claim cleared for public review.,no,2026-04-02
E1-08,Profitability,Climate-reframed,Drought yield: Regen 134 vs Conventional 100,Rodale FST 30-year trial,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,8,,Farm Returns,institutional,Drought yield: Regen 134 vs Conventional 100,Institutional-source claim cleared for public review.,no,2026-04-02
E1-09,Profitability,Climate-reframed,SOM: Regen 4.2% vs Conventional 2.1% (+100%),Composite field data,"Cross-ref Brown’s Ranch, SHI",Removed from public-facing materials during synchronization because the paired SOM shorthand was broader than the approved evidence set.,derived,remove,9,,Farm Returns,derived,SOM: Regen 4.2% vs Conventional 2.1% (+100%),Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
E1-10,Profitability,Climate-reframed,McKinsey: $250B incremental value over a decade (80% adoption),McKinsey 2024,McKinsey regen agriculture report,Existing site claim carried forward into the revised register.,direct,approved,10,,Capital Signals,institutional,McKinsey: $250B incremental value over a decade (80% adoption),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-11,Profitability,Climate-reframed,$500M+/yr hidden fertilizer costs (US corn),"Jing et al., 2020",DOI: 10.1029/2019EF001432,Existing site claim carried forward into the revised register.,direct,approved,11,,System Costs,primary,$500M+/yr hidden fertilizer costs (US corn),Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-12,Profitability,Climate-reframed,$1T+/yr broader degradation costs,"Neff, CU Boulder, 2021 (informal)",Informal extrapolation; Gulf Dead Zone etc.,Removed from public-facing materials during synchronization because the broader degradation-cost rollup was not hardened to the same standard as the approved site claims.,interpretation,remove,12,,System Costs,interpretive,$1T+/yr broader degradation costs,Interpretive reviewer framing grounded in the cited evidence base. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-13,Profitability,Climate-reframed,BCG: 130% long-term ROI on regen transitions,BCG 2023,BCG long-term ROI analysis,Existing site claim carried forward into the revised register.,direct,approved,13,3,Capital Signals,institutional,BCG: 130% long-term ROI on regen transitions,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-14,Profitability,Climate-reframed,Carbon credits: $4.50–$11.25/acre/year,Carbon market data,Voluntary carbon pricing 2023–2036,Approved public row synchronized to the current carbon-credit revenue panel.,direct,approved,14,,Market / Program Signals,institutional,Carbon credits: $4.50–$11.25/acre/year,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-15,Profitability,Climate-reframed,8M+ acres enrolled (Indigo Ag platform),Indigo Ag 2023,Platform data,Approved public row synchronized to the current carbon-credit revenue panel.,direct,approved,15,,Market / Program Signals,institutional,8M+ acres enrolled (Indigo Ag platform),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-16,Profitability,Climate-reframed,2M+ tons CO2e credits verified,Indigo Ag 2023,Platform data,Approved public row synchronized to the current carbon-credit revenue panel.,direct,approved,16,,Market / Program Signals,institutional,2M+ tons CO2e credits verified,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
